ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,0,0.0,0,0.0,1
16,0,0.0,0,0.0,1
19,0,0.0,0,0.0,1
24,0,0.0,0,0.0,1
29,0,0.0,0,0.0,1
30,0,0.0,0,0.0,1
40,0,0.0,0,0.0,1
44,0,0.0,0,0.0,1
44,63,0.05076923076923077,0,0.0,1
44,0,0.0,0,0.0,1
59,32,0.025787545787545788,0,0.0,1
59,0,0.0,0,0.0,1
59,0,0.0,0,0.0,1
75,0,0.0,0,0.0,1
81,0,0.0,0,0.0,1
85,0,0.0,0,0.0,1
89,0,0.0,0,0.0,1
95,0,0.0,0,0.0,1
100,0,0.0,0,0.0,1
105,37,0.029816849816849816,0,0.0,1
112,0,0.0,0,0.0,1
112,0,0.0,0,0.0,1
112,30,0.024175824175824173,0,0.0,1
124,0,0.0,0,0.0,1
132,0,0.0,0,0.0,1
132,0,0.0,0,0.0,1
140,0,0.0,0,0.0,1
147,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
157,16,0.012893772893772894,0,0.0,1
162,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
173,26,0.02095238095238095,0,0.0,1
173,0,0.0,0,0.0,1
173,0,0.0,0,0.0,1
189,32,0.025787545787545788,0,0.0,1
189,11,0.008864468864468863,0,0.0,1
189,3,0.0024175824175824176,0,0.0,1
206,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
216,0,0.0,0,0.0,1
216,0,0.0,0,0.0,1
223,0,0.0,0,0.0,1
223,0,0.0,0,0.0,1
223,0,0.0,0,0.0,1
239,3,0.0024175824175824176,0,0.0,1
239,0,0.0,0,0.0,1
239,0,0.0,0,0.0,1
256,0,0.0,0,0.0,1
256,0,0.0,0,0.0,1
256,0,0.0,0,0.0,1
256,0,0.0,0,0.0,1
277,0,0.0,0,0.0,1
282,0,0.0,0,0.0,1
282,0,0.0,0,0.0,1
289,0,0.0,0,0.0,1
289,0,0.0,0,0.0,1
289,0,0.0,0,0.0,1
305,0,0.0,0,0.0,1
305,0,0.0,0,0.0,1
305,0,0.0,0,0.0,1
305,0,0.0,0,0.0,1
322,0,0.0,0,0.0,1
322,0,0.0,0,0.0,1
322,0,0.0,0,0.0,1
338,0,0.0,0,0.0,1
344,0,0.0,0,0.0,1
344,0,0.0,0,0.0,1
355,51,0.0410989010989011,0,0.0,1
