ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
2,180,0.14505494505494507,143,0.11523809523809524,1
8,182,0.14666666666666667,139,0.112014652014652,1
12,178,0.14344322344322344,141,0.11362637362637362,1
16,180,0.14505494505494507,142,0.11443223443223444,1
16,181,0.14586080586080585,142,0.11443223443223444,1
27,179,0.14424908424908423,142,0.11443223443223444,1
32,181,0.14586080586080585,143,0.11523809523809524,1
36,177,0.14263736263736262,143,0.11523809523809524,1
42,180,0.14505494505494507,141,0.11362637362637362,1
43,179,0.14424908424908423,141,0.11362637362637362,1
43,182,0.14666666666666667,143,0.11523809523809524,1
43,181,0.14586080586080585,140,0.11282051282051282,1
61,179,0.14424908424908423,141,0.11362637362637362,1
61,179,0.14424908424908423,143,0.11523809523809524,1
61,177,0.14263736263736262,141,0.11362637362637362,1
77,181,0.14586080586080585,142,0.11443223443223444,1
82,182,0.14666666666666667,142,0.11443223443223444,1
87,178,0.14344322344322344,143,0.11523809523809524,1
92,178,0.14344322344322344,144,0.11604395604395604,1
97,178,0.14344322344322344,141,0.11362637362637362,1
102,178,0.14344322344322344,142,0.11443223443223444,1
107,181,0.14586080586080585,142,0.11443223443223444,1
109,178,0.14344322344322344,139,0.112014652014652,1
109,179,0.14424908424908423,138,0.1112087912087912,1
120,179,0.14424908424908423,142,0.11443223443223444,1
127,178,0.14344322344322344,142,0.11443223443223444,1
131,179,0.14424908424908423,142,0.11443223443223444,1
137,178,0.14344322344322344,143,0.11523809523809524,1
142,182,0.14666666666666667,139,0.112014652014652,1
142,182,0.14666666666666667,142,0.11443223443223444,1
142,178,0.14344322344322344,142,0.11443223443223444,1
142,180,0.14505494505494507,144,0.11604395604395604,1
158,178,0.14344322344322344,142,0.11443223443223444,1
158,178,0.14344322344322344,140,0.11282051282051282,1
158,178,0.14344322344322344,141,0.11362637362637362,1
173,183,0.14747252747252745,141,0.11362637362637362,1
173,180,0.14505494505494507,143,0.11523809523809524,1
173,178,0.14344322344322344,140,0.11282051282051282,1
189,178,0.14344322344322344,140,0.11282051282051282,1
189,182,0.14666666666666667,142,0.11443223443223444,1
189,177,0.14263736263736262,139,0.112014652014652,1
205,177,0.14263736263736262,143,0.11523809523809524,1
205,179,0.14424908424908423,143,0.11523809523809524,1
205,179,0.14424908424908423,140,0.11282051282051282,1
221,181,0.14586080586080585,142,0.11443223443223444,1
226,181,0.14586080586080585,143,0.11523809523809524,1
226,181,0.14586080586080585,142,0.11443223443223444,1
238,179,0.14424908424908423,142,0.11443223443223444,1
243,178,0.14344322344322344,141,0.11362637362637362,1
243,178,0.14344322344322344,143,0.11523809523809524,1
243,180,0.14505494505494507,143,0.11523809523809524,1
254,180,0.14505494505494507,142,0.11443223443223444,1
254,178,0.14344322344322344,140,0.11282051282051282,1
254,178,0.14344322344322344,141,0.11362637362637362,1
270,180,0.14505494505494507,140,0.11282051282051282,1
270,179,0.14424908424908423,140,0.11282051282051282,1
270,179,0.14424908424908423,139,0.112014652014652,1
288,182,0.14666666666666667,141,0.11362637362637362,1
293,181,0.14586080586080585,141,0.11362637362637362,1
293,185,0.14908424908424908,144,0.11604395604395604,1
303,180,0.14505494505494507,141,0.11362637362637362,1
309,182,0.14666666666666667,141,0.11362637362637362,1
313,179,0.14424908424908423,141,0.11362637362637362,1
319,182,0.14666666666666667,142,0.11443223443223444,1
319,179,0.14424908424908423,143,0.11523809523809524,1
319,179,0.14424908424908423,141,0.11362637362637362,1
319,183,0.14747252747252745,141,0.11362637362637362,1
335,179,0.14424908424908423,144,0.11604395604395604,1
335,183,0.14747252747252745,143,0.11523809523809524,1
335,178,0.14344322344322344,144,0.11604395604395604,1
352,179,0.14424908424908423,142,0.11443223443223444,1
352,181,0.14586080586080585,142,0.11443223443223444,1
352,182,0.14666666666666667,143,0.11523809523809524,1
369,179,0.14424908424908423,143,0.11523809523809524,1
374,180,0.14505494505494507,143,0.11523809523809524,1
379,180,0.14505494505494507,143,0.11523809523809524,1
379,180,0.14505494505494507,142,0.11443223443223444,1
384,180,0.14505494505494507,141,0.11362637362637362,1
384,181,0.14586080586080585,144,0.11604395604395604,1
384,179,0.14424908424908423,142,0.11443223443223444,1
401,179,0.14424908424908423,143,0.11523809523809524,1
401,178,0.14344322344322344,143,0.11523809523809524,1
401,182,0.14666666666666667,141,0.11362637362637362,1
417,182,0.14666666666666667,142,0.11443223443223444,1
424,180,0.14505494505494507,141,0.11362637362637362,1
424,181,0.14586080586080585,142,0.11443223443223444,1
433,181,0.14586080586080585,140,0.11282051282051282,1
438,182,0.14666666666666667,141,0.11362637362637362,1
438,177,0.14263736263736262,143,0.11523809523809524,1
449,178,0.14344322344322344,142,0.11443223443223444,1
449,181,0.14586080586080585,143,0.11523809523809524,1
449,183,0.14747252747252745,141,0.11362637362637362,1
449,180,0.14505494505494507,142,0.11443223443223444,1
465,178,0.14344322344322344,142,0.11443223443223444,1
465,181,0.14586080586080585,144,0.11604395604395604,1
465,178,0.14344322344322344,143,0.11523809523809524,1
482,181,0.14586080586080585,142,0.11443223443223444,1
489,181,0.14586080586080585,141,0.11362637362637362,1
489,180,0.14505494505494507,142,0.11443223443223444,1
499,183,0.14747252747252745,142,0.11443223443223444,1
502,181,0.14586080586080585,141,0.11362637362637362,1
502,179,0.14424908424908423,139,0.112014652014652,1
502,180,0.14505494505494507,141,0.11362637362637362,1
519,182,0.14666666666666667,142,0.11443223443223444,1
519,179,0.14424908424908423,144,0.11604395604395604,1
527,180,0.14505494505494507,142,0.11443223443223444,1
532,179,0.14424908424908423,144,0.11604395604395604,1
539,178,0.14344322344322344,143,0.11523809523809524,1
543,181,0.14586080586080585,140,0.11282051282051282,1
547,181,0.14586080586080585,144,0.11604395604395604,1
547,178,0.14344322344322344,143,0.11523809523809524,1
559,179,0.14424908424908423,142,0.11443223443223444,1
561,178,0.14344322344322344,141,0.11362637362637362,1
565,177,0.14263736263736262,141,0.11362637362637362,1
565,183,0.14747252747252745,144,0.11604395604395604,1
575,177,0.14263736263736262,141,0.11362637362637362,1
575,179,0.14424908424908423,142,0.11443223443223444,1
575,183,0.14747252747252745,142,0.11443223443223444,1
592,182,0.14666666666666667,140,0.11282051282051282,1
592,182,0.14666666666666667,142,0.11443223443223444,1
592,178,0.14344322344322344,143,0.11523809523809524,1
609,182,0.14666666666666667,143,0.11523809523809524,1
614,181,0.14586080586080585,143,0.11523809523809524,1
614,178,0.14344322344322344,140,0.11282051282051282,1
614,180,0.14505494505494507,142,0.11443223443223444,1
624,179,0.14424908424908423,143,0.11523809523809524,1
624,179,0.14424908424908423,139,0.112014652014652,1
624,179,0.14424908424908423,141,0.11362637362637362,1
641,178,0.14344322344322344,141,0.11362637362637362,1
641,178,0.14344322344322344,141,0.11362637362637362,1
649,179,0.14424908424908423,142,0.11443223443223444,1
657,182,0.14666666666666667,142,0.11443223443223444,1
657,180,0.14505494505494507,140,0.11282051282051282,1
657,180,0.14505494505494507,142,0.11443223443223444,1
657,179,0.14424908424908423,140,0.11282051282051282,1
677,181,0.14586080586080585,142,0.11443223443223444,1
677,178,0.14344322344322344,141,0.11362637362637362,1
677,181,0.14586080586080585,141,0.11362637362637362,1
688,182,0.14666666666666667,142,0.11443223443223444,1
696,181,0.14586080586080585,142,0.11443223443223444,1
696,179,0.14424908424908423,140,0.11282051282051282,1
709,178,0.14344322344322344,141,0.11362637362637362,1
713,179,0.14424908424908423,142,0.11443223443223444,1
713,178,0.14344322344322344,141,0.11362637362637362,1
720,182,0.14666666666666667,142,0.11443223443223444,1
720,181,0.14586080586080585,143,0.11523809523809524,1
720,179,0.14424908424908423,141,0.11362637362637362,1
737,183,0.14747252747252745,142,0.11443223443223444,1
741,176,0.1418315018315018,141,0.11362637362637362,1
741,179,0.14424908424908423,143,0.11523809523809524,1
753,181,0.14586080586080585,141,0.11362637362637362,1
753,177,0.14263736263736262,142,0.11443223443223444,1
753,181,0.14586080586080585,142,0.11443223443223444,1
753,181,0.14586080586080585,134,0.10798534798534798,1
774,179,0.14424908424908423,144,0.11604395604395604,1
774,179,0.14424908424908423,141,0.11362637362637362,1
774,181,0.14586080586080585,139,0.112014652014652,1
786,177,0.14263736263736262,143,0.11523809523809524,1
786,182,0.14666666666666667,141,0.11362637362637362,1
786,181,0.14586080586080585,139,0.112014652014652,1
802,181,0.14586080586080585,144,0.11604395604395604,1
808,181,0.14586080586080585,143,0.11523809523809524,1
808,178,0.14344322344322344,144,0.11604395604395604,1
819,182,0.14666666666666667,151,0.12168498168498168,1
819,178,0.14344322344322344,144,0.11604395604395604,1
819,180,0.14505494505494507,142,0.11443223443223444,1
819,183,0.14747252747252745,143,0.11523809523809524,1
835,180,0.14505494505494507,142,0.11443223443223444,1
835,181,0.14586080586080585,143,0.11523809523809524,1
835,181,0.14586080586080585,140,0.11282051282051282,1
852,182,0.14666666666666667,142,0.11443223443223444,1
852,181,0.14586080586080585,141,0.11362637362637362,1
852,181,0.14586080586080585,143,0.11523809523809524,1
868,178,0.14344322344322344,143,0.11523809523809524,1
868,181,0.14586080586080585,142,0.11443223443223444,1
868,180,0.14505494505494507,128,0.10315018315018315,1
884,177,0.14263736263736262,140,0.11282051282051282,1
885,180,0.14505494505494507,141,0.11362637362637362,1
885,181,0.14586080586080585,143,0.11523809523809524,1
885,181,0.14586080586080585,143,0.11523809523809524,1
901,181,0.14586080586080585,141,0.11362637362637362,1
901,182,0.14666666666666667,143,0.11523809523809524,1
901,179,0.14424908424908423,139,0.112014652014652,1
917,178,0.14344322344322344,140,0.11282051282051282,1
917,179,0.14424908424908423,140,0.11282051282051282,1
917,180,0.14505494505494507,142,0.11443223443223444,1
934,179,0.14424908424908423,141,0.11362637362637362,1
934,179,0.14424908424908423,145,0.11684981684981684,1
934,179,0.14424908424908423,160,0.12893772893772892,1
934,177,0.14263736263736262,142,0.11443223443223444,1
950,176,0.1418315018315018,144,0.11604395604395604,1
950,179,0.14424908424908423,139,0.112014652014652,1
950,179,0.14424908424908423,128,0.10315018315018315,1
966,180,0.14505494505494507,143,0.11523809523809524,1
966,181,0.14586080586080585,144,0.11604395604395604,1
973,178,0.14344322344322344,143,0.11523809523809524,1
981,180,0.14505494505494507,141,0.11362637362637362,1
981,182,0.14666666666666667,144,0.11604395604395604,1
981,179,0.14424908424908423,144,0.11604395604395604,1
997,179,0.14424908424908423,142,0.11443223443223444,1
1002,181,0.14586080586080585,138,0.1112087912087912,1
1007,179,0.14424908424908423,141,0.11362637362637362,1
1012,178,0.14344322344322344,142,0.11443223443223444,1
