ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
4,0,0.0,0,0.0,1
4,0,0.0,0,0.0,1
4,0,0.0,0,0.0,1
17,0,0.0,0,0.0,1
22,0,0.0,0,0.0,1
23,0,0.0,0,0.0,1
23,0,0.0,0,0.0,1
36,0,0.0,0,0.0,1
36,0,0.0,0,0.0,1
36,0,0.0,0,0.0,1
53,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
68,0,0.0,0,0.0,1
74,0,0.0,0,0.0,1
78,0,0.0,0,0.0,1
83,0,0.0,0,0.0,1
88,0,0.0,0,0.0,1
93,30,0.024175824175824173,0,0.0,1
98,22,0.017728937728937726,0,0.0,1
102,0,0.0,0,0.0,1
110,0,0.0,0,0.0,1
110,0,0.0,0,0.0,1
110,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
135,0,0.0,0,0.0,1
140,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
144,0,0.0,0,0.0,1
151,0,0.0,0,0.0,1
151,0,0.0,0,0.0,1
151,0,0.0,0,0.0,1
167,0,0.0,0,0.0,1
167,0,0.0,0,0.0,1
167,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
184,0,0.0,0,0.0,1
205,0,0.0,0,0.0,1
206,5,0.004029304029304029,0,0.0,1
206,0,0.0,0,0.0,1
217,0,0.0,0,0.0,1
217,0,0.0,0,0.0,1
217,0,0.0,0,0.0,1
234,0,0.0,0,0.0,1
234,0,0.0,0,0.0,1
234,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
266,0,0.0,0,0.0,1
266,0,0.0,0,0.0,1
266,0,0.0,0,0.0,1
283,0,0.0,0,0.0,1
283,0,0.0,0,0.0,1
283,0,0.0,0,0.0,1
299,0,0.0,0,0.0,1
299,0,0.0,0,0.0,1
299,0,0.0,0,0.0,1
299,0,0.0,0,0.0,1
315,0,0.0,0,0.0,1
315,0,0.0,0,0.0,1
315,0,0.0,0,0.0,1
335,0,0.0,0,0.0,1
340,0,0.0,0,0.0,1
340,0,0.0,0,0.0,1
348,16,0.012893772893772894,0,0.0,1
348,78,0.06285714285714286,0,0.0,1
348,0,0.0,0,0.0,1
364,0,0.0,0,0.0,1
364,0,0.0,0,0.0,1
364,0,0.0,0,0.0,1
364,0,0.0,0,0.0,1
381,2,0.0016117216117216117,0,0.0,1
381,0,0.0,0,0.0,1
381,0,0.0,0,0.0,1
398,0,0.0,0,0.0,1
405,80,0.06446886446886446,0,0.0,1
409,0,0.0,0,0.0,1
412,0,0.0,0,0.0,1
