ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
6,0,0.0,0,0.0,1
10,0,0.0,0,0.0,1
15,0,0.0,0,0.0,1
19,0,0.0,0,0.0,1
21,0,0.0,0,0.0,1
21,0,0.0,0,0.0,1
36,0,0.0,0,0.0,1
40,0,0.0,0,0.0,1
43,0,0.0,0,0.0,1
43,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
70,0,0.0,0,0.0,1
76,0,0.0,0,0.0,1
76,0,0.0,0,0.0,1
86,0,0.0,0,0.0,1
89,0,0.0,0,0.0,1
96,0,0.0,0,0.0,1
99,0,0.0,0,0.0,1
106,0,0.0,0,0.0,1
110,0,0.0,0,0.0,1
115,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
120,0,0.0,0,0.0,1
120,0,0.0,0,0.0,1
136,0,0.0,0,0.0,1
136,0,0.0,0,0.0,1
136,0,0.0,0,0.0,1
152,0,0.0,0,0.0,1
157,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
172,0,0.0,0,0.0,1
177,0,0.0,0,0.0,1
177,0,0.0,0,0.0,1
185,0,0.0,0,0.0,1
185,0,0.0,0,0.0,1
185,0,0.0,0,0.0,1
202,0,0.0,0,0.0,1
207,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
212,0,0.0,0,0.0,1
220,0,0.0,0,0.0,1
220,0,0.0,0,0.0,1
220,0,0.0,0,0.0,1
234,0,0.0,0,0.0,1
234,11,0.008864468864468863,0,0.0,1
234,0,0.0,0,0.0,1
251,0,0.0,0,0.0,1
251,8,0.006446886446886447,0,0.0,1
251,0,0.0,0,0.0,1
267,0,0.0,0,0.0,1
271,0,0.0,0,0.0,1
277,0,0.0,0,0.0,1
277,0,0.0,0,0.0,1
284,59,0.047545787545787546,0,0.0,1
284,147,0.11846153846153845,0,0.0,1
284,112,0.09025641025641025,0,0.0,1
300,16,0.012893772893772894,0,0.0,1
306,0,0.0,0,0.0,1
306,0,0.0,0,0.0,1
317,0,0.0,0,0.0,1
317,0,0.0,0,0.0,1
317,0,0.0,0,0.0,1
317,0,0.0,0,0.0,1
335,0,0.0,0,0.0,1
335,0,0.0,0,0.0,1
335,0,0.0,0,0.0,1
349,0,0.0,0,0.0,1
349,0,0.0,0,0.0,1
349,48,0.03868131868131868,0,0.0,1
366,0,0.0,0,0.0,1
369,0,0.0,0,0.0,1
369,0,0.0,0,0.0,1
382,0,0.0,0,0.0,1
382,0,0.0,0,0.0,1
382,0,0.0,0,0.0,1
382,0,0.0,0,0.0,1
402,0,0.0,0,0.0,1
402,0,0.0,0,0.0,1
402,0,0.0,0,0.0,1
415,0,0.0,0,0.0,1
420,0,0.0,0,0.0,1
420,0,0.0,0,0.0,1
432,0,0.0,0,0.0,1
432,0,0.0,0,0.0,1
432,0,0.0,0,0.0,1
432,0,0.0,0,0.0,1
448,0,0.0,0,0.0,1
448,0,0.0,0,0.0,1
448,0,0.0,0,0.0,1
465,0,0.0,0,0.0,1
470,0,0.0,0,0.0,1
470,0,0.0,0,0.0,1
481,18,0.014505494505494505,0,0.0,1
481,113,0.09106227106227105,0,0.0,1
481,21,0.016923076923076923,0,0.0,1
481,22,0.017728937728937726,0,0.0,1
501,31,0.02498168498168498,0,0.0,1
501,0,0.0,0,0.0,1
501,0,0.0,0,0.0,1
515,16,0.012893772893772894,0,0.0,1
520,81,0.06527472527472526,0,0.0,1
527,86,0.0693040293040293,0,0.0,1
531,0,0.0,0,0.0,1
536,0,0.0,0,0.0,1
542,0,0.0,0,0.0,1
542,31,0.02498168498168498,0,0.0,1
552,0,0.0,0,0.0,1
552,3,0.0024175824175824176,0,0.0,1
552,0,0.0,0,0.0,1
552,0,0.0,0,0.0,1
572,0,0.0,0,0.0,1
577,0,0.0,0,0.0,1
577,8,0.006446886446886447,0,0.0,1
585,0,0.0,0,0.0,1
585,0,0.0,0,0.0,1
585,133,0.10717948717948718,0,0.0,1
