ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,0,0.0,0,0.0,1
0,0,0.0,0,0.0,1
16,0,0.0,0,0.0,1
19,0,0.0,0,0.0,1
23,0,0.0,0,0.0,1
29,0,0.0,0,0.0,1
29,0,0.0,0,0.0,1
37,0,0.0,0,0.0,1
37,0,0.0,0,0.0,1
37,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
54,0,0.0,0,0.0,1
70,0,0.0,0,0.0,1
71,0,0.0,0,0.0,1
71,0,0.0,0,0.0,1
71,0,0.0,0,0.0,1
89,0,0.0,0,0.0,1
89,0,0.0,0,0.0,1
89,0,0.0,0,0.0,1
104,0,0.0,0,0.0,1
104,0,0.0,0,0.0,1
104,0,0.0,0,0.0,1
119,0,0.0,0,0.0,1
124,0,0.0,0,0.0,1
124,0,0.0,0,0.0,1
124,0,0.0,0,0.0,1
140,0,0.0,0,0.0,1
145,0,0.0,0,0.0,1
149,0,0.0,0,0.0,1
155,0,0.0,0,0.0,1
159,0,0.0,0,0.0,1
166,0,0.0,0,0.0,1
169,0,0.0,0,0.0,1
170,0,0.0,0,0.0,1
170,0,0.0,0,0.0,1
186,0,0.0,0,0.0,1
186,0,0.0,0,0.0,1
186,0,0.0,0,0.0,1
186,0,0.0,0,0.0,1
206,3,0.0024175824175824176,0,0.0,1
207,0,0.0,0,0.0,1
207,0,0.0,0,0.0,1
219,0,0.0,0,0.0,1
219,0,0.0,0,0.0,1
219,7,0.005641025641025641,0,0.0,1
235,0,0.0,0,0.0,1
235,0,0.0,0,0.0,1
235,0,0.0,0,0.0,1
251,0,0.0,0,0.0,1
251,0,0.0,0,0.0,1
251,0,0.0,0,0.0,1
251,0,0.0,0,0.0,1
270,0,0.0,0,0.0,1
276,0,0.0,0,0.0,1
276,0,0.0,0,0.0,1
286,0,0.0,0,0.0,1
291,0,0.0,0,0.0,1
291,0,0.0,0,0.0,1
300,0,0.0,0,0.0,1
300,0,0.0,0,0.0,1
