ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
0,0,0.0,0,0.0,1
2,0,0.0,0,0.0,1
12,0,0.0,0,0.0,1
16,0,0.0,0,0.0,1
20,0,0.0,0,0.0,1
25,0,0.0,0,0.0,1
31,0,0.0,0,0.0,1
35,0,0.0,0,0.0,1
35,0,0.0,0,0.0,1
46,0,0.0,0,0.0,1
47,0,0.0,0,0.0,1
47,0,0.0,0,0.0,1
62,0,0.0,0,0.0,1
65,0,0.0,0,0.0,1
65,0,0.0,0,0.0,1
65,0,0.0,0,0.0,1
81,0,0.0,0,0.0,1
87,0,0.0,0,0.0,1
91,0,0.0,0,0.0,1
96,0,0.0,0,0.0,1
101,0,0.0,0,0.0,1
107,0,0.0,0,0.0,1
110,0,0.0,0,0.0,1
113,0,0.0,0,0.0,1
113,0,0.0,0,0.0,1
113,0,0.0,0,0.0,1
133,0,0.0,0,0.0,1
138,0,0.0,0,0.0,1
138,0,0.0,0,0.0,1
146,0,0.0,0,0.0,1
153,0,0.0,0,0.0,1
153,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
162,0,0.0,0,0.0,1
178,0,0.0,0,0.0,1
178,0,0.0,0,0.0,1
178,0,0.0,0,0.0,1
178,0,0.0,0,0.0,1
196,0,0.0,0,0.0,1
203,0,0.0,0,0.0,1
205,0,0.0,0,0.0,1
211,0,0.0,0,0.0,1
218,0,0.0,0,0.0,1
222,0,0.0,0,0.0,1
228,0,0.0,0,0.0,1
233,0,0.0,0,0.0,1
233,0,0.0,0,0.0,1
233,0,0.0,0,0.0,1
246,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
249,0,0.0,0,0.0,1
262,0,0.0,0,0.0,1
268,0,0.0,0,0.0,1
268,0,0.0,0,0.0,1
278,0,0.0,0,0.0,1
278,0,0.0,0,0.0,1
278,0,0.0,0,0.0,1
278,0,0.0,0,0.0,1
294,0,0.0,0,0.0,1
294,0,0.0,0,0.0,1
294,0,0.0,0,0.0,1
311,0,0.0,0,0.0,1
318,0,0.0,0,0.0,1
321,0,0.0,0,0.0,1
328,0,0.0,0,0.0,1
333,0,0.0,0,0.0,1
338,0,0.0,0,0.0,1
338,0,0.0,0,0.0,1
343,0,0.0,0,0.0,1
343,0,0.0,0,0.0,1
343,0,0.0,0,0.0,1
360,0,0.0,0,0.0,1
360,0,0.0,0,0.0,1
360,0,0.0,0,0.0,1
377,0,0.0,0,0.0,1
378,0,0.0,0,0.0,1
378,0,0.0,0,0.0,1
393,0,0.0,0,0.0,1
393,0,0.0,0,0.0,1
393,0,0.0,0,0.0,1
393,0,0.0,0,0.0,1
412,0,0.0,0,0.0,1
418,0,0.0,0,0.0,1
418,0,0.0,0,0.0,1
426,0,0.0,0,0.0,1
426,0,0.0,0,0.0,1
426,0,0.0,0,0.0,1
443,0,0.0,0,0.0,1
448,0,0.0,0,0.0,1
453,0,0.0,0,0.0,1
453,0,0.0,0,0.0,1
461,0,0.0,0,0.0,1
461,0,0.0,0,0.0,1
461,0,0.0,0,0.0,1
476,0,0.0,0,0.0,1
476,0,0.0,0,0.0,1
476,0,0.0,0,0.0,1
493,0,0.0,0,0.0,1
493,0,0.0,0,0.0,1
